Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7607E-01 .3486E-17 .1030E-17 .4332E-17
.2805E+03 .9919E-01 .4810E-16 .1431E-16 .5986E-16
.2810E+03 .1664E+00 .1996E-15 .5799E-16 .2470E-15
.2815E+03 .2337E+00 .2743E-14 .7984E-15 .3396E-14
.2820E+03 .2827E+00 .1369E-13 .3926E-14 .1689E-13
.2825E+03 .3046E+00 .3825E-13 .1071E-13 .4693E-13
.2830E+03 .3325E+00 .1190E-12 .3249E-13 .1452E-12
.2835E+03 .3125E+00 .1879E-12 .4953E-13 .2275E-12
.2840E+03 .3113E+00 .2000E-11 .5267E-12 .2421E-11
.2845E+03 .2437E+00 .4753E-11 .1931E-11 .6432E-11
.2850E+03 .1149E+00 .7319E-11 .3406E-11 .1034E-10
.2855E+03 .1335E+00 .3417E-10 .1949E-10 .5185E-10
.2860E+03 .2915E+00 .1323E-09 .8070E-10 .2060E-09
.2865E+03 .3472E+00 .5001E-09 .3836E-09 .8572E-09
.2870E+03 .3663E+00 .1244E-08 .1173E-08 .2351E-08
.2875E+03 .3667E+00 .3792E-08 .5382E-08 .8973E-08
.2880E+03 .2428E+00 .1026E-07 .7342E-08 .1706E-07
.2885E+03 .3479E+00 .3138E-07 .2317E-07 .5289E-07
.2890E+03 .4073E+00 .7954E-07 .6094E-07 .1363E-06
.2895E+03 .4762E+00 .2181E-06 .1765E-06 .3831E-06
.2900E+03 .5989E+00 .5489E-06 .4598E-06 .9797E-06
.2905E+03 .6262E+00 .1031E-05 .8805E-06 .1857E-05
.2910E+03 .5911E+00 .1963E-05 .1752E-05 .3611E-05
.2915E+03 .5837E+00 .4704E-05 .4090E-05 .8545E-05
.2920E+03 .5554E+00 .9235E-05 .7939E-05 .1669E-04
.2925E+03 .4814E+00 .1210E-04 .9833E-05 .2129E-04
.2930E+03 .5499E+00 .2330E-04 .1801E-04 .4007E-04
.2935E+03 .5585E+00 .4818E-04 .3601E-04 .8164E-04
.2940E+03 .4886E+00 .6862E-04 .4740E-04 .1124E-03
.2945E+03 .5269E+00 .1067E-03 .8646E-04 .1875E-03
.2950E+03 .5003E+00 .1599E-03 .1378E-03 .2892E-03
.2955E+03 .5644E+00 .3167E-03 .1938E-03 .4937E-03
.2960E+03 .6021E+00 .4998E-03 .3231E-03 .7964E-03
.2965E+03 .4776E+00 .5739E-03 .3918E-03 .9353E-03
.2970E+03 .4112E+00 .6614E-03 .4717E-03 .1098E-02
.2975E+03 .5794E+00 .1401E-02 .1070E-02 .2397E-02
.2980E+03 .5407E+00 .1822E-02 .1471E-02 .3197E-02
.2985E+03 .3673E+00 .1583E-02 .1334E-02 .2834E-02
.2990E+03 .5591E+00 .3031E-02 .2661E-02 .5531E-02
.2995E+03 .5055E+00 .3933E-02 .3716E-02 .7441E-02
.3000E+03 .4039E+00 .3874E-02 .3812E-02 .7481E-02
.3005E+03 .4257E+00 .4913E-02 .5019E-02 .9672E-02
.3010E+03 .4789E+00 .7228E-02 .7852E-02 .1470E-01
.3015E+03 .5134E+00 .9653E-02 .1094E-01 .2008E-01
.3020E+03 .3629E+00 .7603E-02 .8496E-02 .1570E-01
.3025E+03 .5272E+00 .1332E-01 .1462E-01 .2724E-01
.3030E+03 .6561E+00 .2084E-01 .2240E-01 .4213E-01
.3035E+03 .6676E+00 .2419E-01 .2596E-01 .4887E-01
.3040E+03 .5595E+00 .2167E-01 .2314E-01 .4366E-01
.3045E+03 .6284E+00 .2831E-01 .3025E-01 .5706E-01
.3050E+03 .6524E+00 .3575E-01 .3837E-01 .7222E-01
.3055E+03 .5938E+00 .3667E-01 .3938E-01 .7411E-01
.3060E+03 .5257E+00 .3414E-01 .3651E-01 .6885E-01
.3065E+03 .5679E+00 .3975E-01 .4241E-01 .8005E-01
.3070E+03 .6246E+00 .5066E-01 .5426E-01 .1022E+00
.3075E+03 .6317E+00 .5854E-01 .6293E-01 .1184E+00
.3080E+03 .6363E+00 .6071E-01 .6495E-01 .1224E+00
.3085E+03 .6595E+00 .6715E-01 .8031E-01 .1439E+00
.3090E+03 .5448E+00 .5841E-01 .6886E-01 .1242E+00
.3095E+03 .4977E+00 .6117E-01 .7021E-01 .1281E+00
.3100E+03 .4507E+00 .5907E-01 .6680E-01 .1227E+00
.3105E+03 .6927E+00 .9404E-01 .1052E+00 .1943E+00
.3110E+03 .7985E+00 .1142E+00 .1262E+00 .2343E+00
.3115E+03 .7410E+00 .1088E+00 .1192E+00 .2222E+00
.3120E+03 .6222E+00 .1008E+00 .1085E+00 .2039E+00
.3125E+03 .6753E+00 .1167E+00 .1241E+00 .2346E+00
.3130E+03 .6894E+00 .1235E+00 .1302E+00 .2472E+00
.3135E+03 .7031E+00 .1235E+00 .1296E+00 .2465E+00
.3140E+03 .7690E+00 .1451E+00 .1504E+00 .2877E+00
.3145E+03 .5747E+00 .1185E+00 .1213E+00 .2335E+00
.3150E+03 .7307E+00 .1539E+00 .1564E+00 .3022E+00
.3155E+03 .6593E+00 .1346E+00 .1362E+00 .2637E+00
.3160E+03 .5022E+00 .1099E+00 .1102E+00 .2143E+00
.3165E+03 .6426E+00 .1491E+00 .1481E+00 .2894E+00
.3170E+03 .7974E+00 .1859E+00 .1834E+00 .3594E+00
.3175E+03 .8530E+00 .1972E+00 .1934E+00 .3802E+00
.3180E+03 .6149E+00 .1481E+00 .1441E+00 .2843E+00
.3185E+03 .6612E+00 .1705E+00 .1658E+00 .3273E+00
.3190E+03 .7301E+00 .1952E+00 .1900E+00 .3748E+00
.3195E+03 .6621E+00 .1697E+00 .1623E+00 .3230E+00
.3200E+03 .8108E+00 .2074E+00 .1968E+00 .3932E+00
.3205E+03 .8800E+00 .2404E+00 .2300E+00 .4576E+00
.3210E+03 .6933E+00 .2001E+00 .1927E+00 .3822E+00
.3215E+03 .6544E+00 .1909E+00 .1831E+00 .3639E+00
.3220E+03 .7898E+00 .2198E+00 .2067E+00 .4149E+00
.3225E+03 .6800E+00 .1908E+00 .1784E+00 .3591E+00
.3230E+03 .6204E+00 .1812E+00 .1700E+00 .3416E+00
.3235E+03 .6621E+00 .2055E+00 .2020E+00 .3966E+00
.3240E+03 .7574E+00 .2382E+00 .2334E+00 .4590E+00
.3245E+03 .8012E+00 .2483E+00 .2403E+00 .4755E+00
.3250E+03 .7601E+00 .2280E+00 .2092E+00 .4251E+00
.3255E+03 .9125E+00 .2824E+00 .2690E+00 .5364E+00
.3260E+03 .1020E+01 .3288E+00 .3150E+00 .6264E+00
.3265E+03 .9665E+00 .3202E+00 .3073E+00 .6106E+00
.3270E+03 .9783E+00 .3234E+00 .3078E+00 .6141E+00
.3275E+03 .9656E+00 .3174E+00 .2994E+00 .6000E+00
.3280E+03 .9239E+00 .2951E+00 .2737E+00 .5531E+00
.3285E+03 .8854E+00 .2956E+00 .2761E+00 .5560E+00
.3290E+03 .9928E+00 .3416E+00 .3202E+00 .6437E+00
.3295E+03 .1104E+01 .3843E+00 .3591E+00 .7230E+00
